pin,slack
UART_GPIO_FAB_SB_sb_0/CoreUARTapb_0_0/uUART/make_RX/rx_state_RNI3POJB[0]:A,4019
UART_GPIO_FAB_SB_sb_0/CoreUARTapb_0_0/uUART/make_RX/rx_state_RNI3POJB[0]:B,3976
UART_GPIO_FAB_SB_sb_0/CoreUARTapb_0_0/uUART/make_RX/rx_state_RNI3POJB[0]:Y,3976
UART_GPIO_FAB_SB_sb_0/UART_GPIO_FAB_SB_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_58:IPB,
UART_GPIO_FAB_SB_sb_0/UART_GPIO_FAB_SB_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_214:IPA,
UART_GPIO_FAB_SB_sb_0/UART_GPIO_FAB_SB_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_214:IPB,
UART_GPIO_FAB_SB_sb_0/CoreUARTapb_0_0/uUART/genblk3.rx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/ram128_8_pa4/RAM_128x8/CFG_1:IPC,
UART_GPIO_FAB_SB_sb_0/UART_GPIO_FAB_SB_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_158:IPA,
UART_GPIO_FAB_SB_sb_0/CoreUARTapb_0_0/uUART/genblk2.tx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/ram128_8_pa4/RAM_128x8/CFG_30:C,8488
UART_GPIO_FAB_SB_sb_0/CoreUARTapb_0_0/uUART/genblk2.tx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/ram128_8_pa4/RAM_128x8/CFG_30:IPC,8488
UART_GPIO_FAB_SB_sb_0/CoreUARTapb_0_0/uUART/genblk3.rx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/ram128_8_pa4/RAM_128x8/CFG_30:C,8488
UART_GPIO_FAB_SB_sb_0/CoreUARTapb_0_0/uUART/genblk3.rx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/ram128_8_pa4/RAM_128x8/CFG_30:IPC,8488
UART_GPIO_FAB_SB_sb_0/CoreAPB3_0/u_mux_p_to_b3/PRDATA[3]:A,3475
UART_GPIO_FAB_SB_sb_0/CoreAPB3_0/u_mux_p_to_b3/PRDATA[3]:B,3392
UART_GPIO_FAB_SB_sb_0/CoreAPB3_0/u_mux_p_to_b3/PRDATA[3]:C,7589
UART_GPIO_FAB_SB_sb_0/CoreAPB3_0/u_mux_p_to_b3/PRDATA[3]:Y,3392
UART_GPIO_FAB_SB_sb_0/CoreUARTapb_0_0/uUART/genblk2.tx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/wr_pointer_cry[1]:B,7319
UART_GPIO_FAB_SB_sb_0/CoreUARTapb_0_0/uUART/genblk2.tx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/wr_pointer_cry[1]:FCI,7292
UART_GPIO_FAB_SB_sb_0/CoreUARTapb_0_0/uUART/genblk2.tx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/wr_pointer_cry[1]:FCO,7292
UART_GPIO_FAB_SB_sb_0/CoreUARTapb_0_0/uUART/genblk2.tx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/wr_pointer_cry[1]:S,7396
UART_GPIO_FAB_SB_sb_0/UART_GPIO_FAB_SB_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_270:IPA,
UART_GPIO_FAB_SB_sb_0/UART_GPIO_FAB_SB_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_270:IPB,
UART_GPIO_FAB_SB_sb_0/CoreUARTapb_0_0/uUART/genblk3.rx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/wr_pointer[1]:ALn,6755
UART_GPIO_FAB_SB_sb_0/CoreUARTapb_0_0/uUART/genblk3.rx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/wr_pointer[1]:CLK,7319
UART_GPIO_FAB_SB_sb_0/CoreUARTapb_0_0/uUART/genblk3.rx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/wr_pointer[1]:D,7396
UART_GPIO_FAB_SB_sb_0/CoreUARTapb_0_0/uUART/genblk3.rx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/wr_pointer[1]:EN,5067
UART_GPIO_FAB_SB_sb_0/CoreUARTapb_0_0/uUART/genblk3.rx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/wr_pointer[1]:Q,7319
UART_GPIO_FAB_SB_sb_0/CoreUARTapb_0_0/uUART/make_TX/xmit_bit_sel[2]:ALn,6755
UART_GPIO_FAB_SB_sb_0/CoreUARTapb_0_0/uUART/make_TX/xmit_bit_sel[2]:CLK,4825
UART_GPIO_FAB_SB_sb_0/CoreUARTapb_0_0/uUART/make_TX/xmit_bit_sel[2]:D,6375
UART_GPIO_FAB_SB_sb_0/CoreUARTapb_0_0/uUART/make_TX/xmit_bit_sel[2]:EN,7274
UART_GPIO_FAB_SB_sb_0/CoreUARTapb_0_0/uUART/make_TX/xmit_bit_sel[2]:Q,4825
UART_GPIO_FAB_SB_sb_0/CoreGPIO_1_0/xhdl1.GEN_BITS[0].APB_8.INTR_reg[0]:ALn,6755
UART_GPIO_FAB_SB_sb_0/CoreGPIO_1_0/xhdl1.GEN_BITS[0].APB_8.INTR_reg[0]:CLK,6569
