pin,slack
FAB_INT_sb_0/CoreUARTapb_0_0/uUART/make_RX/parity_err_RNIQ9P7R:A,6487
FAB_INT_sb_0/CoreUARTapb_0_0/uUART/make_RX/parity_err_RNIQ9P7R:B,5257
FAB_INT_sb_0/CoreUARTapb_0_0/uUART/make_RX/parity_err_RNIQ9P7R:C,4652
FAB_INT_sb_0/CoreUARTapb_0_0/uUART/make_RX/parity_err_RNIQ9P7R:D,4524
FAB_INT_sb_0/CoreUARTapb_0_0/uUART/make_RX/parity_err_RNIQ9P7R:Y,4524
FAB_INT_sb_0/CoreUARTapb_0_0/uUART/make_RX/rx_state_RNO[0]:A,6284
FAB_INT_sb_0/CoreUARTapb_0_0/uUART/make_RX/rx_state_RNO[0]:B,3806
FAB_INT_sb_0/CoreUARTapb_0_0/uUART/make_RX/rx_state_RNO[0]:C,7413
FAB_INT_sb_0/CoreUARTapb_0_0/uUART/make_RX/rx_state_RNO[0]:D,7281
FAB_INT_sb_0/CoreUARTapb_0_0/uUART/make_RX/rx_state_RNO[0]:Y,3806
FAB_INT_sb_0/CoreUARTapb_0_0/uUART/genblk3.rx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/un1_counter_s_6:B,3692
FAB_INT_sb_0/CoreUARTapb_0_0/uUART/genblk3.rx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/un1_counter_s_6:C,3710
FAB_INT_sb_0/CoreUARTapb_0_0/uUART/genblk3.rx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/un1_counter_s_6:D,7015
FAB_INT_sb_0/CoreUARTapb_0_0/uUART/genblk3.rx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/un1_counter_s_6:FCI,3583
FAB_INT_sb_0/CoreUARTapb_0_0/uUART/genblk3.rx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/un1_counter_s_6:S,3583
FAB_INT_sb_0/CoreUARTapb_0_0/uUART/genblk2.tx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/un1_counter_cry_3_0:A,7428
FAB_INT_sb_0/CoreUARTapb_0_0/uUART/genblk2.tx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/un1_counter_cry_3_0:B,7267
FAB_INT_sb_0/CoreUARTapb_0_0/uUART/genblk2.tx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/un1_counter_cry_3_0:C,7186
FAB_INT_sb_0/CoreUARTapb_0_0/uUART/genblk2.tx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/un1_counter_cry_3_0:FCI,7125
FAB_INT_sb_0/CoreUARTapb_0_0/uUART/genblk2.tx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/un1_counter_cry_3_0:FCO,7125
FAB_INT_sb_0/CoreUARTapb_0_0/uUART/genblk2.tx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/un1_counter_cry_3_0:S,7176
FAB_INT_sb_0/CoreUARTapb_0_0/uUART/genblk2.tx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/data_out[7]:ALn,6755
