pin,slack
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_112:IPA,
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_112:IPB,
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CI1lI_RNO[1]:A,37426
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CI1lI_RNO[1]:B,35001
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CI1lI_RNO[1]:C,37486
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CI1lI_RNO[1]:Y,35001
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_181:IPA,
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CII0l.CI2ClOIl_4[0]:A,37566
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CII0l.CI2ClOIl_4[0]:B,37494
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CII0l.CI2ClOIl_4[0]:C,33575
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CII0l.CI2ClOIl_4[0]:Y,33575
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_265:IPA,
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_265:IPB,
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_265:IPC,
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CI1lI[4]:ALn,36773
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CI1lI[4]:CLK,33663
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CI1lI[4]:D,34913
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CI1lI[4]:Q,33663
TEMP_sb_0/CoreAPB3_0/u_mux_p_to_b3/PRDATA[4]:A,33437
TEMP_sb_0/CoreAPB3_0/u_mux_p_to_b3/PRDATA[4]:B,33545
TEMP_sb_0/CoreAPB3_0/u_mux_p_to_b3/PRDATA[4]:C,33350
TEMP_sb_0/CoreAPB3_0/u_mux_p_to_b3/PRDATA[4]:Y,33350
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_51:IPA,
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_51:IPB,
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CII0l.CI2ClOIl_4[3]:A,37582
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CII0l.CI2ClOIl_4[3]:B,37517
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CII0l.CI2ClOIl_4[3]:C,36242
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CII0l.CI2ClOIl_4[3]:D,33448
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CII0l.CI2ClOIl_4[3]:Y,33448
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_43:IPA,
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_43:IPB,
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CO1Il_RNO:A,37442
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CO1Il_RNO:Y,37442
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_106:IPB,
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_200:IPA,
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_200:IPB,
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/PRDATA_3_1_0_wmux_0[5]:A,33623
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/PRDATA_3_1_0_wmux_0[5]:B,34678
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/PRDATA_3_1_0_wmux_0[5]:C,36411
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/PRDATA_3_1_0_wmux_0[5]:D,36095
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/PRDATA_3_1_0_wmux_0[5]:FCI,
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/PRDATA_3_1_0_wmux_0[5]:Y,33623
TEMP_sb_0/CORERESETP_0/FIC_2_APB_M_PRESET_N_q1:ALn,
TEMP_sb_0/CORERESETP_0/FIC_2_APB_M_PRESET_N_q1:CLK,38656
TEMP_sb_0/CORERESETP_0/FIC_2_APB_M_PRESET_N_q1:Q,38656
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2Cl0lI_ns_i_0_o2[2]:A,34108
