
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. TEMP, 105, 345, 10, 0, 0, 0, 0, 2, 4
.	. TEMP_sb, 105, 345, 10, 0, 0, 0, 0, 2, 4
.	.	. COREI2C_Z2, 96, 332, 10, 0, 0, 0, 0, 0, 0
.	.	.	. COREI2CREAL_Z3, 88, 328, 10, 0, 0, 0, 0, 0, 0
.	.	. CoreAPB3_Z1, 0, 11, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAPB3_MUXPTOB3, 0, 9, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreResetP_Z4, 9, 2, 0, 0, 0, 0, 0, 1, 0
.	.	. TEMP_sb_CCC_0_FCCC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. TEMP_sb_FABOSC_0_OSC, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. TEMP_sb_MSS, 0, 0, 0, 0, 0, 0, 0, 0, 2
