Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Single-Ended I/O,PLLs and CCCs,Chip Globals,MSS,10/100/1000 Ethernet,RCOSC_50MHZ
Primitives/Primitives,0,0,6,0,0,0,0,0
TEMP_sb_0/CCC_0/Primitives,0,0,0,1,1,0,0,0
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/Primitives,342,88,0,0,0,0,0,0
TEMP_sb_0/COREI2C_0_0/Primitives,13,8,0,0,0,0,0,0
TEMP_sb_0/CORERESETP_0/Primitives,2,9,0,0,1,0,0,0
TEMP_sb_0/CoreAPB3_0/Primitives,3,0,0,0,0,0,0,0
TEMP_sb_0/CoreAPB3_0/u_mux_p_to_b3/Primitives,8,0,0,0,0,0,0,0
TEMP_sb_0/CoreGPIO_0_0/Primitives,60,32,0,0,0,0,0,0
TEMP_sb_0/FABOSC_0/Primitives,0,0,0,0,0,0,0,1
TEMP_sb_0/Primitives,0,0,2,0,0,0,0,0
TEMP_sb_0/TEMP_sb_MSS_0/Primitives,0,0,4,0,0,1,0,0
