pin,slack
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_112:IPA,
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_112:IPB,
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CI1lI_RNO[1]:A,34032
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CI1lI_RNO[1]:B,37537
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CI1lI_RNO[1]:Y,34032
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_181:IPA,
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CII0l.CI2ClOIl_4[0]:A,37565
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CII0l.CI2ClOIl_4[0]:B,37493
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CII0l.CI2ClOIl_4[0]:C,33819
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CII0l.CI2ClOIl_4[0]:Y,33819
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_265:IPA,
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_265:IPB,
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_265:IPC,
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CI1lI[4]:ALn,36765
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CI1lI[4]:CLK,33599
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CI1lI[4]:D,34032
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CI1lI[4]:Q,33599
TEMP_sb_0/CoreAPB3_0/u_mux_p_to_b3/PRDATA[4]:A,33281
TEMP_sb_0/CoreAPB3_0/u_mux_p_to_b3/PRDATA[4]:B,34318
TEMP_sb_0/CoreAPB3_0/u_mux_p_to_b3/PRDATA[4]:C,32045
TEMP_sb_0/CoreAPB3_0/u_mux_p_to_b3/PRDATA[4]:D,31261
TEMP_sb_0/CoreAPB3_0/u_mux_p_to_b3/PRDATA[4]:Y,31261
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_51:IPA,
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_51:IPB,
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CII0l.CI2ClOIl_4[3]:A,37581
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CII0l.CI2ClOIl_4[3]:B,37516
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CII0l.CI2ClOIl_4[3]:C,36241
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CII0l.CI2ClOIl_4[3]:D,33692
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CII0l.CI2ClOIl_4[3]:Y,33692
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_43:IPA,
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_43:IPB,
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CO1Il_RNO:A,37441
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CO1Il_RNO:Y,37441
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_106:IPB,
TEMP_sb_0/CoreGPIO_0_0/xhdl1.GEN_BITS[1].APB_32.edge_neg38:A,36337
TEMP_sb_0/CoreGPIO_0_0/xhdl1.GEN_BITS[1].APB_32.edge_neg38:B,36231
TEMP_sb_0/CoreGPIO_0_0/xhdl1.GEN_BITS[1].APB_32.edge_neg38:Y,36231
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_200:IPA,
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_200:IPB,
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/PRDATA_3_1_0_wmux_0[5]:A,32274
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/PRDATA_3_1_0_wmux_0[5]:B,33324
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/PRDATA_3_1_0_wmux_0[5]:C,35136
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/PRDATA_3_1_0_wmux_0[5]:D,34820
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/PRDATA_3_1_0_wmux_0[5]:FCI,
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/PRDATA_3_1_0_wmux_0[5]:Y,32274
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CO00l.un1_CI2Cl1Ol_1:A,31784
