
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. TEMP, 137, 418, 10, 0, 0, 0, 0, 2, 12
.	. TEMP_sb, 137, 418, 10, 0, 0, 0, 0, 2, 6
.	.	. COREI2C_Z3, 96, 345, 10, 0, 0, 0, 0, 0, 0
.	.	.	. COREI2CREAL_Z4, 88, 332, 10, 0, 0, 0, 0, 0, 0
.	.	. CoreAPB3_Z1, 0, 11, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAPB3_MUXPTOB3, 0, 8, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreGPIO_Z2, 32, 60, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreResetP_Z5, 9, 2, 0, 0, 0, 0, 0, 1, 0
.	.	. TEMP_sb_CCC_0_FCCC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. TEMP_sb_FABOSC_0_OSC, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. TEMP_sb_MSS, 0, 0, 0, 0, 0, 0, 0, 0, 4
