@N: MF916 |Option synthesis_strategy=base is enabled. 
@N: MF248 |Running in 64-bit mode.
@N: MF667 |Clock conversion disabled. (Command "set_option -fix_gated_and_generated_clocks 0" in the project file.)
@N: MO111 :"d:\libero_tests\core_i2c_temp_alert_int_gpio\component\work\temp_sb\fabosc_0\temp_sb_fabosc_0_osc.v":20:7:20:16|Tristate driver XTLOSC_O2F (in view: work.TEMP_sb_FABOSC_0_OSC(verilog)) on net XTLOSC_O2F (in view: work.TEMP_sb_FABOSC_0_OSC(verilog)) has its enable tied to GND.
@N: MO111 :"d:\libero_tests\core_i2c_temp_alert_int_gpio\component\work\temp_sb\fabosc_0\temp_sb_fabosc_0_osc.v":19:7:19:16|Tristate driver XTLOSC_CCC (in view: work.TEMP_sb_FABOSC_0_OSC(verilog)) on net XTLOSC_CCC (in view: work.TEMP_sb_FABOSC_0_OSC(verilog)) has its enable tied to GND.
@N: MO111 :"d:\libero_tests\core_i2c_temp_alert_int_gpio\component\work\temp_sb\fabosc_0\temp_sb_fabosc_0_osc.v":18:7:18:20|Tristate driver RCOSC_1MHZ_O2F (in view: work.TEMP_sb_FABOSC_0_OSC(verilog)) on net RCOSC_1MHZ_O2F (in view: work.TEMP_sb_FABOSC_0_OSC(verilog)) has its enable tied to GND.
@N: MO111 :"d:\libero_tests\core_i2c_temp_alert_int_gpio\component\work\temp_sb\fabosc_0\temp_sb_fabosc_0_osc.v":17:7:17:20|Tristate driver RCOSC_1MHZ_CCC (in view: work.TEMP_sb_FABOSC_0_OSC(verilog)) on net RCOSC_1MHZ_CCC (in view: work.TEMP_sb_FABOSC_0_OSC(verilog)) has its enable tied to GND.
@N: BZ173 :"d:\libero_tests\core_i2c_temp_alert_int_gpio\component\actel\directcore\corei2c\7.0.102\rtl\vlog\core_obfuscated\corei2creal.v":2566:0:2566:3|ROM CI2COlll\.CI2COl0I_2[4:0] (in view: work.COREI2CREAL_Z4(verilog)) mapped in logic.
@N: BZ173 :"d:\libero_tests\core_i2c_temp_alert_int_gpio\component\actel\directcore\corei2c\7.0.102\rtl\vlog\core_obfuscated\corei2creal.v":2566:0:2566:3|ROM CI2COlll\.CI2COl0I_2[4:0] (in view: work.COREI2CREAL_Z4(verilog)) mapped in logic.
@N: MO106 :"d:\libero_tests\core_i2c_temp_alert_int_gpio\component\actel\directcore\corei2c\7.0.102\rtl\vlog\core_obfuscated\corei2creal.v":2566:0:2566:3|Found ROM CI2COlll\.CI2COl0I_2[4:0] (in view: work.COREI2CREAL_Z4(verilog)) with 29 words by 5 bits.
@N: BZ173 :"d:\libero_tests\core_i2c_temp_alert_int_gpio\component\actel\directcore\coreapb3\4.1.100\rtl\vlog\core\coreapb3.v":267:2:267:5|ROM CoreAPB3_0.iPSELS_raw_2[1:0] (in view: work.TEMP_sb(verilog)) mapped in logic.
@N: BZ173 :"d:\libero_tests\core_i2c_temp_alert_int_gpio\component\actel\directcore\coreapb3\4.1.100\rtl\vlog\core\coreapb3.v":267:2:267:5|ROM CoreAPB3_0.iPSELS_raw_2[1:0] (in view: work.TEMP_sb(verilog)) mapped in logic.
@N: MO106 :"d:\libero_tests\core_i2c_temp_alert_int_gpio\component\actel\directcore\coreapb3\4.1.100\rtl\vlog\core\coreapb3.v":267:2:267:5|Found ROM CoreAPB3_0.iPSELS_raw_2[1:0] (in view: work.TEMP_sb(verilog)) with 2 words by 2 bits.
