pin,slack
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_175:IPA,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_175:IPB,
CoreGPIO_C0_0/CoreGPIO_C0_0/CONFIG_reg_o_2_cZ[2]:A,16593
CoreGPIO_C0_0/CoreGPIO_C0_0/CONFIG_reg_o_2_cZ[2]:B,16493
CoreGPIO_C0_0/CoreGPIO_C0_0/CONFIG_reg_o_2_cZ[2]:C,14672
CoreGPIO_C0_0/CoreGPIO_C0_0/CONFIG_reg_o_2_cZ[2]:Y,14672
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_234:IPA,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_234:IPB,
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[1].REG_INT.un20_intr_2_1:A,13459
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[1].REG_INT.un20_intr_2_1:B,13365
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[1].REG_INT.un20_intr_2_1:Y,13365
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].APB_8.INTR_reg73:A,14604
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].APB_8.INTR_reg73:B,14351
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].APB_8.INTR_reg73:C,12074
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].APB_8.INTR_reg73:D,11771
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].APB_8.INTR_reg73:Y,11771
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_216:IPA,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_216:IPB,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_216:IPC,
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].REG_GEN.CONFIG_reg[0][7]:ALn,
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].REG_GEN.CONFIG_reg[0][7]:CLK,16069
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].REG_GEN.CONFIG_reg[0][7]:D,16572
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].REG_GEN.CONFIG_reg[0][7]:EN,13369
