pin,slack
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/sersta_write_proc.sersta_2_4_0_.m15:A,16142
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/sersta_write_proc.sersta_2_4_0_.m15:B,16434
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/sersta_write_proc.sersta_2_4_0_.m15:C,16335
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/sersta_write_proc.sersta_2_4_0_.m15:D,15068
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/sersta_write_proc.sersta_2_4_0_.m15:Y,15068
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/adrcomp_write_proc.un1_seradr0_NE_0:A,14092
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/adrcomp_write_proc.un1_seradr0_NE_0:B,14296
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/adrcomp_write_proc.un1_seradr0_NE_0:C,14337
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/adrcomp_write_proc.un1_seradr0_NE_0:D,14194
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/adrcomp_write_proc.un1_seradr0_NE_0:Y,14092
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/un1_PCLK_count1_ov_0_sqmuxa_1:A,11860
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/un1_PCLK_count1_ov_0_sqmuxa_1:B,11754
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/un1_PCLK_count1_ov_0_sqmuxa_1:C,8878
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/un1_PCLK_count1_ov_0_sqmuxa_1:D,8978
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/un1_PCLK_count1_ov_0_sqmuxa_1:Y,8878
TEMP1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_256:IPA,
TEMP1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_256:IPB,
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/fsmmod_RNO[4]:A,15949
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/fsmmod_RNO[4]:B,17551
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/fsmmod_RNO[4]:C,13770
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/fsmmod_RNO[4]:D,14076
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/fsmmod_RNO[4]:Y,13770
TEMP1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_155:IPB,
COREI2C_C0_0/COREI2C_C0_0/g_seradr0_reg_bits.genblk1.seradr0_write_proc.seradr0apb5:A,14543
COREI2C_C0_0/COREI2C_C0_0/g_seradr0_reg_bits.genblk1.seradr0_write_proc.seradr0apb5:B,15436
COREI2C_C0_0/COREI2C_C0_0/g_seradr0_reg_bits.genblk1.seradr0_write_proc.seradr0apb5:C,14314
COREI2C_C0_0/COREI2C_C0_0/g_seradr0_reg_bits.genblk1.seradr0_write_proc.seradr0apb5:D,13425
COREI2C_C0_0/COREI2C_C0_0/g_seradr0_reg_bits.genblk1.seradr0_write_proc.seradr0apb5:Y,13425
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/sercon[7]:ALn,
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/sercon[7]:CLK,11178
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/sercon[7]:D,16554
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/sercon[7]:EN,12386
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/sercon[7]:Q,11178
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/PCLK_count1[2]:ALn,
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/PCLK_count1[2]:CLK,11754
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/PCLK_count1[2]:D,8900
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/PCLK_count1[2]:Q,11754
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/PCLK_count1_ov_3_sqmuxa:A,13122
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/PCLK_count1_ov_3_sqmuxa:B,9677
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/PCLK_count1_ov_3_sqmuxa:C,13072
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/PCLK_count1_ov_3_sqmuxa:D,12952
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/PCLK_count1_ov_3_sqmuxa:Y,9677
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/indelay[1]:ALn,
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/indelay[1]:CLK,14238
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/indelay[1]:D,16267
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/indelay[1]:Q,14238
TEMP1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_252:IPA,
TEMP1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_252:IPB,
TEMP1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_252:IPC,
TEMP1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_46:IPB,
TEMP1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_233:IPA,
