pin,slack
COREI2C_0_0/I2C_NUM_GENERATION[0].ui2c/SDAO_int_write_proc.un1_sersta39_0_0:A,1763
COREI2C_0_0/I2C_NUM_GENERATION[0].ui2c/SDAO_int_write_proc.un1_sersta39_0_0:B,715
COREI2C_0_0/I2C_NUM_GENERATION[0].ui2c/SDAO_int_write_proc.un1_sersta39_0_0:C,1776
COREI2C_0_0/I2C_NUM_GENERATION[0].ui2c/SDAO_int_write_proc.un1_sersta39_0_0:D,559
COREI2C_0_0/I2C_NUM_GENERATION[0].ui2c/SDAO_int_write_proc.un1_sersta39_0_0:Y,559
CORERESETP_0/MSS_HPMS_READY_int_rep_RNI7J4V6/U0:An,
CORERESETP_0/MSS_HPMS_READY_int_rep_RNI7J4V6/U0:YNn,
COREI2C_0_0/I2C_NUM_GENERATION[0].ui2c/SDAO_int_write_proc.un1_sersta39_0_0_1:A,1680
COREI2C_0_0/I2C_NUM_GENERATION[0].ui2c/SDAO_int_write_proc.un1_sersta39_0_0_1:B,559
COREI2C_0_0/I2C_NUM_GENERATION[0].ui2c/SDAO_int_write_proc.un1_sersta39_0_0_1:C,1627
COREI2C_0_0/I2C_NUM_GENERATION[0].ui2c/SDAO_int_write_proc.un1_sersta39_0_0_1:D,1462
COREI2C_0_0/I2C_NUM_GENERATION[0].ui2c/SDAO_int_write_proc.un1_sersta39_0_0_1:Y,559
COREI2C_0_0/I2C_NUM_GENERATION[0].ui2c/fsmmod[1]:ALn,6768
COREI2C_0_0/I2C_NUM_GENERATION[0].ui2c/fsmmod[1]:CLK,2728
COREI2C_0_0/I2C_NUM_GENERATION[0].ui2c/fsmmod[1]:D,1310
COREI2C_0_0/I2C_NUM_GENERATION[0].ui2c/fsmmod[1]:Q,2728
COREI2C_0_0/I2C_NUM_GENERATION[0].ui2c/sercon_write_proc.sercon_8_1[4]:A,6472
COREI2C_0_0/I2C_NUM_GENERATION[0].ui2c/sercon_write_proc.sercon_8_1[4]:B,6180
COREI2C_0_0/I2C_NUM_GENERATION[0].ui2c/sercon_write_proc.sercon_8_1[4]:C,5107
COREI2C_0_0/I2C_NUM_GENERATION[0].ui2c/sercon_write_proc.sercon_8_1[4]:Y,5107
COREI2C_0_0/I2C_NUM_GENERATION[0].ui2c/SDAO_int_write_proc.SDAO_int_6_u:A,1460
COREI2C_0_0/I2C_NUM_GENERATION[0].ui2c/SDAO_int_write_proc.SDAO_int_6_u:B,7532
COREI2C_0_0/I2C_NUM_GENERATION[0].ui2c/SDAO_int_write_proc.SDAO_int_6_u:C,1521
COREI2C_0_0/I2C_NUM_GENERATION[0].ui2c/SDAO_int_write_proc.SDAO_int_6_u:Y,1460
MSS_sys_i2c_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_115:IPA,
MSS_sys_i2c_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_115:IPB,
MSS_sys_i2c_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_263:IPA,
MSS_sys_i2c_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_263:IPB,
MSS_sys_i2c_sb_MSS_0/I2C_1_SCL_PAD/U_IOPAD:D,
MSS_sys_i2c_sb_MSS_0/I2C_1_SCL_PAD/U_IOPAD:E,
MSS_sys_i2c_sb_MSS_0/I2C_1_SCL_PAD/U_IOPAD:PAD,
