pin,slack
GPIO_INT_ABFN_sb_0/GPIO_INT_ABFN_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_31:IPA,
GPIO_INT_ABFN_sb_0/GPIO_INT_ABFN_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_31:IPB,
GPIO_INT_ABFN_sb_0/GPIO_INT_ABFN_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_27:IPA,
GPIO_INT_ABFN_sb_0/GPIO_INT_ABFN_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_27:IPB,
GPIO_INT_ABFN_sb_0/CoreUARTapb_0_0/uUART/make_RX/rx_parity_calc_RNO:A,5268
GPIO_INT_ABFN_sb_0/CoreUARTapb_0_0/uUART/make_RX/rx_parity_calc_RNO:B,5232
GPIO_INT_ABFN_sb_0/CoreUARTapb_0_0/uUART/make_RX/rx_parity_calc_RNO:C,7486
GPIO_INT_ABFN_sb_0/CoreUARTapb_0_0/uUART/make_RX/rx_parity_calc_RNO:D,7263
GPIO_INT_ABFN_sb_0/CoreUARTapb_0_0/uUART/make_RX/rx_parity_calc_RNO:Y,5232
GPIO_INT_ABFN_sb_0/CoreUARTapb_0_0/uUART/make_TX/xmit_state[1]:ALn,6789
GPIO_INT_ABFN_sb_0/CoreUARTapb_0_0/uUART/make_TX/xmit_state[1]:CLK,7378
GPIO_INT_ABFN_sb_0/CoreUARTapb_0_0/uUART/make_TX/xmit_state[1]:D,8648
GPIO_INT_ABFN_sb_0/CoreUARTapb_0_0/uUART/make_TX/xmit_state[1]:Q,7378
GPIO_INT_ABFN_sb_0/GPIO_INT_ABFN_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_270:IPA,
GPIO_INT_ABFN_sb_0/GPIO_INT_ABFN_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_270:IPB,
GPIO_INT_ABFN_sb_0/CCC_0/GL0_INST/U0_RGB1_RGB5:An,
GPIO_INT_ABFN_sb_0/CCC_0/GL0_INST/U0_RGB1_RGB5:YR,
GPIO_INT_ABFN_sb_0/CCC_0/GL0_INST/U0_RGB1:An,
GPIO_INT_ABFN_sb_0/CCC_0/GL0_INST/U0_RGB1:YR,
GPIO_INT_ABFN_sb_0/CoreUARTapb_0_0/NxtPrdata_5_1_0_wmux_0[3]:A,3625
GPIO_INT_ABFN_sb_0/CoreUARTapb_0_0/NxtPrdata_5_1_0_wmux_0[3]:B,5661
GPIO_INT_ABFN_sb_0/CoreUARTapb_0_0/NxtPrdata_5_1_0_wmux_0[3]:C,7485
GPIO_INT_ABFN_sb_0/CoreUARTapb_0_0/NxtPrdata_5_1_0_wmux_0[3]:CC,
GPIO_INT_ABFN_sb_0/CoreUARTapb_0_0/NxtPrdata_5_1_0_wmux_0[3]:D,7390
GPIO_INT_ABFN_sb_0/CoreUARTapb_0_0/NxtPrdata_5_1_0_wmux_0[3]:P,
GPIO_INT_ABFN_sb_0/CoreUARTapb_0_0/NxtPrdata_5_1_0_wmux_0[3]:UB,
GPIO_INT_ABFN_sb_0/CoreUARTapb_0_0/NxtPrdata_5_1_0_wmux_0[3]:Y,3625
GPIO_INT_ABFN_sb_0/CoreUARTapb_0_0/uUART/genblk3.rx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/un1_counter_cry_0_CC_0:CC[0],
GPIO_INT_ABFN_sb_0/CoreUARTapb_0_0/uUART/genblk3.rx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/un1_counter_cry_0_CC_0:CC[1],3536
GPIO_INT_ABFN_sb_0/CoreUARTapb_0_0/uUART/genblk3.rx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/un1_counter_cry_0_CC_0:CC[2],3460
GPIO_INT_ABFN_sb_0/CoreUARTapb_0_0/uUART/genblk3.rx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/un1_counter_cry_0_CC_0:CC[3],3070
GPIO_INT_ABFN_sb_0/CoreUARTapb_0_0/uUART/genblk3.rx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/un1_counter_cry_0_CC_0:CC[4],2968
