pin,slack
UART_INT1_sb_0/CoreUARTapb_0_0/uUART/genblk3.rx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/ram128_8_pa4/RAM_128x8/CFG_31:IPC,
UART_INT1_sb_0/CoreUARTapb_0_0/uUART/genblk2.tx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/ram128_8_pa4/RAM_128x8/FF_24:IPCLKn,
UART_INT1_sb_0/UART_INT1_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_3:A,3508
UART_INT1_sb_0/UART_INT1_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_3:IPA,3508
UART_INT1_sb_0/UART_INT1_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_3:IPB,
UART_INT1_sb_0/UART_INT1_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_172:IPA,
UART_INT1_sb_0/UART_INT1_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_172:IPB,
UART_INT1_sb_0/UART_INT1_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_104:IPA,
UART_INT1_sb_0/UART_INT1_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_104:IPB,
UART_INT1_sb_0/CoreUARTapb_0_0/uUART/make_CLOCK_GEN/genblk1.baud_clock_int:ALn,6755
UART_INT1_sb_0/CoreUARTapb_0_0/uUART/make_CLOCK_GEN/genblk1.baud_clock_int:CLK,5093
UART_INT1_sb_0/CoreUARTapb_0_0/uUART/make_CLOCK_GEN/genblk1.baud_clock_int:D,5796
UART_INT1_sb_0/CoreUARTapb_0_0/uUART/make_CLOCK_GEN/genblk1.baud_clock_int:Q,5093
UART_INT1_sb_0/CoreUARTapb_0_0/controlReg1[1]:ALn,6755
UART_INT1_sb_0/CoreUARTapb_0_0/controlReg1[1]:CLK,7205
UART_INT1_sb_0/CoreUARTapb_0_0/controlReg1[1]:D,6978
UART_INT1_sb_0/CoreUARTapb_0_0/controlReg1[1]:EN,3373
UART_INT1_sb_0/CoreUARTapb_0_0/controlReg1[1]:Q,7205
UART_INT1_sb_0/CoreUARTapb_0_0/NxtPrdata_5_1[2]:A,4671
UART_INT1_sb_0/CoreUARTapb_0_0/NxtPrdata_5_1[2]:B,4607
UART_INT1_sb_0/CoreUARTapb_0_0/NxtPrdata_5_1[2]:C,3409
UART_INT1_sb_0/CoreUARTapb_0_0/NxtPrdata_5_1[2]:D,4269
UART_INT1_sb_0/CoreUARTapb_0_0/NxtPrdata_5_1[2]:Y,3409
UART_INT1_sb_0/CoreGPIO_0_0/xhdl1.GEN_BITS[0].APB_8.un63_PRDATA_o_3:A,3516
UART_INT1_sb_0/CoreGPIO_0_0/xhdl1.GEN_BITS[0].APB_8.un63_PRDATA_o_3:B,3600
UART_INT1_sb_0/CoreGPIO_0_0/xhdl1.GEN_BITS[0].APB_8.un63_PRDATA_o_3:C,3495
UART_INT1_sb_0/CoreGPIO_0_0/xhdl1.GEN_BITS[0].APB_8.un63_PRDATA_o_3:Y,3495
UART_INT1_sb_0/CoreUARTapb_0_0/controlReg1[0]:ALn,6755
UART_INT1_sb_0/CoreUARTapb_0_0/controlReg1[0]:CLK,7186
UART_INT1_sb_0/CoreUARTapb_0_0/controlReg1[0]:D,6932
UART_INT1_sb_0/CoreUARTapb_0_0/controlReg1[0]:EN,3373
UART_INT1_sb_0/CoreUARTapb_0_0/controlReg1[0]:Q,7186
UART_INT1_sb_0/UART_INT1_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_248:IPA,
UART_INT1_sb_0/UART_INT1_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_248:IPB,
UART_INT1_sb_0/CoreUARTapb_0_0/uUART/genblk2.tx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/ram128_8_pa4/RAM_128x8/CFG_25:IPC,
UART_INT1_sb_0/CoreUARTapb_0_0/NxtPrdata_2[1]:A,4941
UART_INT1_sb_0/CoreUARTapb_0_0/NxtPrdata_2[1]:B,3284
UART_INT1_sb_0/CoreUARTapb_0_0/NxtPrdata_2[1]:C,4935
UART_INT1_sb_0/CoreUARTapb_0_0/NxtPrdata_2[1]:D,4823
UART_INT1_sb_0/CoreUARTapb_0_0/NxtPrdata_2[1]:Y,3284
UART_INT1_sb_0/CoreUARTapb_0_0/uUART/genblk3.rx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/wr_pointer[5]:ALn,6755
UART_INT1_sb_0/CoreUARTapb_0_0/uUART/genblk3.rx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/wr_pointer[5]:CLK,7377
UART_INT1_sb_0/CoreUARTapb_0_0/uUART/genblk3.rx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/wr_pointer[5]:D,7311
UART_INT1_sb_0/CoreUARTapb_0_0/uUART/genblk3.rx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/wr_pointer[5]:EN,6177
UART_INT1_sb_0/CoreUARTapb_0_0/uUART/genblk3.rx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/wr_pointer[5]:Q,7377
UART_INT1_sb_0/CORERESETP_0/MSS_HPMS_READY_int_RNI94R54/U0_RGB1:An,
UART_INT1_sb_0/CORERESETP_0/MSS_HPMS_READY_int_RNI94R54/U0_RGB1:YL,6755
UART_INT1_sb_0/UART_INT1_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_168:IPA,
UART_INT1_sb_0/CoreUARTapb_0_0/uUART/make_RX/make_parity_err.parity_err5:A,5074
UART_INT1_sb_0/CoreUARTapb_0_0/uUART/make_RX/make_parity_err.parity_err5:B,4965
UART_INT1_sb_0/CoreUARTapb_0_0/uUART/make_RX/make_parity_err.parity_err5:C,4911
UART_INT1_sb_0/CoreUARTapb_0_0/uUART/make_RX/make_parity_err.parity_err5:D,4810
UART_INT1_sb_0/CoreUARTapb_0_0/uUART/make_RX/make_parity_err.parity_err5:Y,4810
UART_INT1_sb_0/UART_INT1_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_24:IPA,
UART_INT1_sb_0/CoreAPB3_0/u_mux_p_to_b3/PRDATA[5]:A,3680
UART_INT1_sb_0/CoreAPB3_0/u_mux_p_to_b3/PRDATA[5]:B,7582
UART_INT1_sb_0/CoreAPB3_0/u_mux_p_to_b3/PRDATA[5]:C,3556
UART_INT1_sb_0/CoreAPB3_0/u_mux_p_to_b3/PRDATA[5]:Y,3556
UART_INT1_sb_0/UART_INT1_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_264:IPA,
UART_INT1_sb_0/UART_INT1_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_264:IPB,
UART_INT1_sb_0/UART_INT1_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_264:IPC,
UART_INT1_sb_0/CoreUARTapb_0_0/uUART/genblk3.rx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/wr_pointer[0]:ALn,6755
UART_INT1_sb_0/CoreUARTapb_0_0/uUART/genblk3.rx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/wr_pointer[0]:CLK,7292
UART_INT1_sb_0/CoreUARTapb_0_0/uUART/genblk3.rx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/wr_pointer[0]:D,7592
UART_INT1_sb_0/CoreUARTapb_0_0/uUART/genblk3.rx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/wr_pointer[0]:EN,6177
UART_INT1_sb_0/CoreUARTapb_0_0/uUART/genblk3.rx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/wr_pointer[0]:Q,7292
UART_INT1_sb_0/UART_INT1_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_252:IPA,
UART_INT1_sb_0/UART_INT1_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_252:IPB,
UART_INT1_sb_0/UART_INT1_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_252:IPC,
UART_INT1_sb_0/CoreUARTapb_0_0/uUART/make_CLOCK_GEN/genblk1.baud_cntr[6]:ALn,6755
UART_INT1_sb_0/CoreUARTapb_0_0/uUART/make_CLOCK_GEN/genblk1.baud_cntr[6]:CLK,4707
UART_INT1_sb_0/CoreUARTapb_0_0/uUART/make_CLOCK_GEN/genblk1.baud_cntr[6]:D,4362
UART_INT1_sb_0/CoreUARTapb_0_0/uUART/make_CLOCK_GEN/genblk1.baud_cntr[6]:Q,4707
UART_INT1_sb_0/CoreUARTapb_0_0/controlReg1[4]:ALn,6755
UART_INT1_sb_0/CoreUARTapb_0_0/controlReg1[4]:CLK,7262
UART_INT1_sb_0/CoreUARTapb_0_0/controlReg1[4]:D,6960
UART_INT1_sb_0/CoreUARTapb_0_0/controlReg1[4]:EN,3373
UART_INT1_sb_0/CoreUARTapb_0_0/controlReg1[4]:Q,7262
UART_INT1_sb_0/UART_INT1_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_220:IPA,
UART_INT1_sb_0/UART_INT1_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_220:IPB,
UART_INT1_sb_0/CoreUARTapb_0_0/uUART/genblk2.tx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/ram128_8_pa4/RAM_128x8/CFG_30:C,8488
