pin,slack
GPIOOOO_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_13:IPA,
CoreGPIO_C0_0/CoreGPIO_C0_0/CONFIG_reg_o_2_cZ[2]:A,16593
CoreGPIO_C0_0/CoreGPIO_C0_0/CONFIG_reg_o_2_cZ[2]:B,16493
CoreGPIO_C0_0/CoreGPIO_C0_0/CONFIG_reg_o_2_cZ[2]:C,14664
CoreGPIO_C0_0/CoreGPIO_C0_0/CONFIG_reg_o_2_cZ[2]:Y,14664
GPIOOOO_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_143:IPB,
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[1].REG_INT.un20_intr_2_1:A,13509
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[1].REG_INT.un20_intr_2_1:B,13415
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[1].REG_INT.un20_intr_2_1:Y,13415
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].REG_GEN.CONFIG_reg[0][7]:ALn,
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].REG_GEN.CONFIG_reg[0][7]:CLK,16119
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].REG_GEN.CONFIG_reg[0][7]:D,16572
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].REG_GEN.CONFIG_reg[0][7]:EN,13377
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].REG_GEN.CONFIG_reg[0][7]:Q,16119
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[1].REG_GEN.CONFIG_reg[1][3]:ALn,
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[1].REG_GEN.CONFIG_reg[1][3]:CLK,14578
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[1].REG_GEN.CONFIG_reg[1][3]:D,17000
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[1].REG_GEN.CONFIG_reg[1][3]:EN,13323
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[1].REG_GEN.CONFIG_reg[1][3]:Q,14578
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].REG_GEN.CONFIG_reg[0][5]:ALn,
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].REG_GEN.CONFIG_reg[0][5]:CLK,13649
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].REG_GEN.CONFIG_reg[0][5]:D,17062
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].REG_GEN.CONFIG_reg[0][5]:EN,13377
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].REG_GEN.CONFIG_reg[0][5]:Q,13649
CoreGPIO_C0_0/CoreGPIO_C0_0/RDATA_32.un14_PRDATA_o_1:A,11249
CoreGPIO_C0_0/CoreGPIO_C0_0/RDATA_32.un14_PRDATA_o_1:B,11198
CoreGPIO_C0_0/CoreGPIO_C0_0/RDATA_32.un14_PRDATA_o_1:C,10952
CoreGPIO_C0_0/CoreGPIO_C0_0/RDATA_32.un14_PRDATA_o_1:D,10940
CoreGPIO_C0_0/CoreGPIO_C0_0/RDATA_32.un14_PRDATA_o_1:Y,10940
GPIOOOO_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_265:IPA,
GPIOOOO_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_265:IPB,
GPIOOOO_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_265:IPC,
GPIOOOO_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_72:IPA,
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[1].REG_GPOUT.un20_GPIO_OUT_i:A,
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[1].REG_GPOUT.un20_GPIO_OUT_i:B,
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[1].REG_GPOUT.un20_GPIO_OUT_i:Y,
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].APB_32.edge_neg_9_iv_i[0]:A,17583
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].APB_32.edge_neg_9_iv_i[0]:B,17538
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].APB_32.edge_neg_9_iv_i[0]:C,15716
