@N: MF916 |Option synthesis_strategy=base is enabled. 
@N: MF248 |Running in 64-bit mode.
@N: MF667 |Clock conversion disabled. (Command "set_option -fix_gated_and_generated_clocks 0" in the project file.)
@N: MO111 :"d:\libero_tests\liu_gpio_1\component\work\liu_gpio_sb_1_sb\coreuartapb_0_0\rtl\vlog\core\coreuart.v":111:14:111:24|Tristate driver tx_dout_reg[7] (in view: work.LIU_GPIO_SB_1_sb_CoreUARTapb_0_0_COREUART_0s_0s_0s_15s_0s(verilog)) on net tx_dout_reg[7] (in view: work.LIU_GPIO_SB_1_sb_CoreUARTapb_0_0_COREUART_0s_0s_0s_15s_0s(verilog)) has its enable tied to GND.
@N: MO111 :"d:\libero_tests\liu_gpio_1\component\work\liu_gpio_sb_1_sb\coreuartapb_0_0\rtl\vlog\core\coreuart.v":111:14:111:24|Tristate driver tx_dout_reg[6] (in view: work.LIU_GPIO_SB_1_sb_CoreUARTapb_0_0_COREUART_0s_0s_0s_15s_0s(verilog)) on net tx_dout_reg[6] (in view: work.LIU_GPIO_SB_1_sb_CoreUARTapb_0_0_COREUART_0s_0s_0s_15s_0s(verilog)) has its enable tied to GND.
@N: MO111 :"d:\libero_tests\liu_gpio_1\component\work\liu_gpio_sb_1_sb\coreuartapb_0_0\rtl\vlog\core\coreuart.v":111:14:111:24|Tristate driver tx_dout_reg[5] (in view: work.LIU_GPIO_SB_1_sb_CoreUARTapb_0_0_COREUART_0s_0s_0s_15s_0s(verilog)) on net tx_dout_reg[5] (in view: work.LIU_GPIO_SB_1_sb_CoreUARTapb_0_0_COREUART_0s_0s_0s_15s_0s(verilog)) has its enable tied to GND.
@N: MO111 :"d:\libero_tests\liu_gpio_1\component\work\liu_gpio_sb_1_sb\coreuartapb_0_0\rtl\vlog\core\coreuart.v":111:14:111:24|Tristate driver tx_dout_reg[4] (in view: work.LIU_GPIO_SB_1_sb_CoreUARTapb_0_0_COREUART_0s_0s_0s_15s_0s(verilog)) on net tx_dout_reg[4] (in view: work.LIU_GPIO_SB_1_sb_CoreUARTapb_0_0_COREUART_0s_0s_0s_15s_0s(verilog)) has its enable tied to GND.
@N: MO111 :"d:\libero_tests\liu_gpio_1\component\work\liu_gpio_sb_1_sb\coreuartapb_0_0\rtl\vlog\core\coreuart.v":111:14:111:24|Tristate driver tx_dout_reg[3] (in view: work.LIU_GPIO_SB_1_sb_CoreUARTapb_0_0_COREUART_0s_0s_0s_15s_0s(verilog)) on net tx_dout_reg[3] (in view: work.LIU_GPIO_SB_1_sb_CoreUARTapb_0_0_COREUART_0s_0s_0s_15s_0s(verilog)) has its enable tied to GND.
@N: MO111 :"d:\libero_tests\liu_gpio_1\component\work\liu_gpio_sb_1_sb\coreuartapb_0_0\rtl\vlog\core\coreuart.v":111:14:111:24|Tristate driver tx_dout_reg[2] (in view: work.LIU_GPIO_SB_1_sb_CoreUARTapb_0_0_COREUART_0s_0s_0s_15s_0s(verilog)) on net tx_dout_reg[2] (in view: work.LIU_GPIO_SB_1_sb_CoreUARTapb_0_0_COREUART_0s_0s_0s_15s_0s(verilog)) has its enable tied to GND.
@N: MO111 :"d:\libero_tests\liu_gpio_1\component\work\liu_gpio_sb_1_sb\coreuartapb_0_0\rtl\vlog\core\coreuart.v":111:14:111:24|Tristate driver tx_dout_reg[1] (in view: work.LIU_GPIO_SB_1_sb_CoreUARTapb_0_0_COREUART_0s_0s_0s_15s_0s(verilog)) on net tx_dout_reg[1] (in view: work.LIU_GPIO_SB_1_sb_CoreUARTapb_0_0_COREUART_0s_0s_0s_15s_0s(verilog)) has its enable tied to GND.
@N: MO111 :"d:\libero_tests\liu_gpio_1\component\work\liu_gpio_sb_1_sb\coreuartapb_0_0\rtl\vlog\core\coreuart.v":111:14:111:24|Tristate driver tx_dout_reg[0] (in view: work.LIU_GPIO_SB_1_sb_CoreUARTapb_0_0_COREUART_0s_0s_0s_15s_0s(verilog)) on net tx_dout_reg[0] (in view: work.LIU_GPIO_SB_1_sb_CoreUARTapb_0_0_COREUART_0s_0s_0s_15s_0s(verilog)) has its enable tied to GND.
