pin,slack
FABRIC_UART_sb_0/CoreUARTapb_0_0/uUART/genblk3.rx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/wr_pointer[1]:ALn,6790
FABRIC_UART_sb_0/CoreUARTapb_0_0/uUART/genblk3.rx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/wr_pointer[1]:CLK,6627
FABRIC_UART_sb_0/CoreUARTapb_0_0/uUART/genblk3.rx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/wr_pointer[1]:D,7020
FABRIC_UART_sb_0/CoreUARTapb_0_0/uUART/genblk3.rx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/wr_pointer[1]:EN,6229
FABRIC_UART_sb_0/CoreUARTapb_0_0/uUART/genblk3.rx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/wr_pointer[1]:Q,6627
FABRIC_UART_sb_0/CoreUARTapb_0_0/NxtPrdata_2[4]:A,5156
FABRIC_UART_sb_0/CoreUARTapb_0_0/NxtPrdata_2[4]:B,3651
FABRIC_UART_sb_0/CoreUARTapb_0_0/NxtPrdata_2[4]:C,5146
FABRIC_UART_sb_0/CoreUARTapb_0_0/NxtPrdata_2[4]:D,5241
FABRIC_UART_sb_0/CoreUARTapb_0_0/NxtPrdata_2[4]:Y,3651
FABRIC_UART_sb_0/FABRIC_UART_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_92:IPA,
FABRIC_UART_sb_0/FABRIC_UART_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_92:IPB,
FABRIC_UART_sb_0/CoreUARTapb_0_0/uUART/genblk2.tx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/rd_pointer_cry[2]:B,7396
FABRIC_UART_sb_0/CoreUARTapb_0_0/uUART/genblk2.tx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/rd_pointer_cry[2]:CC,
FABRIC_UART_sb_0/CoreUARTapb_0_0/uUART/genblk2.tx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/rd_pointer_cry[2]:P,
FABRIC_UART_sb_0/CoreUARTapb_0_0/uUART/genblk2.tx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/rd_pointer_cry[2]:S,7396
FABRIC_UART_sb_0/CoreUARTapb_0_0/uUART/genblk2.tx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/rd_pointer_cry[2]:UB,
FABRIC_UART_sb_0/FABRIC_UART_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_29:IPA,
FABRIC_UART_sb_0/FABRIC_UART_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_29:IPB,
FABRIC_UART_sb_0/FABRIC_UART_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_76:IPA,
FABRIC_UART_sb_0/FABRIC_UART_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_76:IPB,
FABRIC_UART_sb_0/CoreUARTapb_0_0/uUART/genblk3.rx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/ram128_8_pa4/RAM_128x8/CFG_17:C,7557
FABRIC_UART_sb_0/CoreUARTapb_0_0/uUART/genblk3.rx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/ram128_8_pa4/RAM_128x8/CFG_17:IPB,
FABRIC_UART_sb_0/CoreUARTapb_0_0/uUART/genblk3.rx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/ram128_8_pa4/RAM_128x8/CFG_17:IPC,7557
FABRIC_UART_sb_0/CoreUARTapb_0_0/NxtPrdata_5[5]:A,6202
FABRIC_UART_sb_0/CoreUARTapb_0_0/NxtPrdata_5[5]:B,5596
FABRIC_UART_sb_0/CoreUARTapb_0_0/NxtPrdata_5[5]:C,4777
FABRIC_UART_sb_0/CoreUARTapb_0_0/NxtPrdata_5[5]:D,4647
FABRIC_UART_sb_0/CoreUARTapb_0_0/NxtPrdata_5[5]:Y,4647
FABRIC_UART_sb_0/CoreUARTapb_0_0/uUART/genblk2.tx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/ram128_8_pa4/RAM_128x8/FF_31:IPENn,
FABRIC_UART_sb_0/CCC_0/CCC_INST/IP_INTERFACE_3:IPA,
FABRIC_UART_sb_0/CCC_0/CCC_INST/IP_INTERFACE_3:IPB,
FABRIC_UART_sb_0/CCC_0/CCC_INST/IP_INTERFACE_3:IPC,
FABRIC_UART_sb_0/CoreUARTapb_0_0/uUART/make_RX/parity_err:ALn,6789
FABRIC_UART_sb_0/CoreUARTapb_0_0/uUART/make_RX/parity_err:CLK,5017
FABRIC_UART_sb_0/CoreUARTapb_0_0/uUART/make_RX/parity_err:D,5066
FABRIC_UART_sb_0/CoreUARTapb_0_0/uUART/make_RX/parity_err:EN,3960
FABRIC_UART_sb_0/CoreUARTapb_0_0/uUART/make_RX/parity_err:Q,5017
FABRIC_UART_sb_0/CoreUARTapb_0_0/uUART/tx_hold_reg[4]:ALn,6790
FABRIC_UART_sb_0/CoreUARTapb_0_0/uUART/tx_hold_reg[4]:CLK,8756
FABRIC_UART_sb_0/CoreUARTapb_0_0/uUART/tx_hold_reg[4]:D,6969
FABRIC_UART_sb_0/CoreUARTapb_0_0/uUART/tx_hold_reg[4]:EN,3385
FABRIC_UART_sb_0/CoreUARTapb_0_0/uUART/tx_hold_reg[4]:Q,8756
FABRIC_UART_sb_0/CoreUARTapb_0_0/uUART/genblk3.rx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/ram128_8_pa4/RAM_128x8/FF_11:IPENn,
FABRIC_UART_sb_0/FABRIC_UART_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_117:IPA,
FABRIC_UART_sb_0/FABRIC_UART_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_117:IPB,
FABRIC_UART_sb_0/CoreUARTapb_0_0/uUART/fifo_write_rx_1:A,4016
FABRIC_UART_sb_0/CoreUARTapb_0_0/uUART/fifo_write_rx_1:B,4015
FABRIC_UART_sb_0/CoreUARTapb_0_0/uUART/fifo_write_rx_1:C,5028
FABRIC_UART_sb_0/CoreUARTapb_0_0/uUART/fifo_write_rx_1:D,5017
FABRIC_UART_sb_0/CoreUARTapb_0_0/uUART/fifo_write_rx_1:Y,4015
FABRIC_UART_sb_0/CoreUARTapb_0_0/uUART/genblk3.rx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/ram128_8_pa4/RAM_128x8/FF_21:EN,6101
FABRIC_UART_sb_0/CoreUARTapb_0_0/uUART/genblk3.rx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/ram128_8_pa4/RAM_128x8/FF_21:IPENn,6101
FABRIC_UART_sb_0/FABRIC_UART_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_51:IPA,
FABRIC_UART_sb_0/FABRIC_UART_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_51:IPB,
FABRIC_UART_sb_0/CoreUARTapb_0_0/uUART/make_TX/xmit_bit_sel_RNO[3]:A,7464
FABRIC_UART_sb_0/CoreUARTapb_0_0/uUART/make_TX/xmit_bit_sel_RNO[3]:B,6485
FABRIC_UART_sb_0/CoreUARTapb_0_0/uUART/make_TX/xmit_bit_sel_RNO[3]:C,7330
FABRIC_UART_sb_0/CoreUARTapb_0_0/uUART/make_TX/xmit_bit_sel_RNO[3]:D,7405
FABRIC_UART_sb_0/CoreUARTapb_0_0/uUART/make_TX/xmit_bit_sel_RNO[3]:Y,6485
FABRIC_UART_sb_0/CoreUARTapb_0_0/uUART/make_CLOCK_GEN/genblk1.baud_cntr_RNO[12]:B,7287
FABRIC_UART_sb_0/CoreUARTapb_0_0/uUART/make_CLOCK_GEN/genblk1.baud_cntr_RNO[12]:C,4805
FABRIC_UART_sb_0/CoreUARTapb_0_0/uUART/make_CLOCK_GEN/genblk1.baud_cntr_RNO[12]:CC,3859
FABRIC_UART_sb_0/CoreUARTapb_0_0/uUART/make_CLOCK_GEN/genblk1.baud_cntr_RNO[12]:D,7104
FABRIC_UART_sb_0/CoreUARTapb_0_0/uUART/make_CLOCK_GEN/genblk1.baud_cntr_RNO[12]:P,
FABRIC_UART_sb_0/CoreUARTapb_0_0/uUART/make_CLOCK_GEN/genblk1.baud_cntr_RNO[12]:S,3859
FABRIC_UART_sb_0/CoreUARTapb_0_0/uUART/make_CLOCK_GEN/genblk1.baud_cntr_RNO[12]:UB,
FABRIC_UART_sb_0/FABRIC_UART_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_66:IPA,
FABRIC_UART_sb_0/FABRIC_UART_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_66:IPB,
FABRIC_UART_sb_0/FABRIC_UART_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_229:IPA,
FABRIC_UART_sb_0/FABRIC_UART_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_229:IPB,
FABRIC_UART_sb_0/FABRIC_UART_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_229:IPC,
FABRIC_UART_sb_0/CoreUARTapb_0_0/uUART/make_RX/rx_state_RNI43757[0]:A,5292
FABRIC_UART_sb_0/CoreUARTapb_0_0/uUART/make_RX/rx_state_RNI43757[0]:B,6199
FABRIC_UART_sb_0/CoreUARTapb_0_0/uUART/make_RX/rx_state_RNI43757[0]:Y,5292
FABRIC_UART_sb_0/CoreUARTapb_0_0/uUART/genblk3.rx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/ram128_8_pa4/RAM_128x8/CFG_34:IPB,
FABRIC_UART_sb_0/CoreUARTapb_0_0/uUART/genblk3.rx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/ram128_8_pa4/RAM_128x8/CFG_34:IPC,
FABRIC_UART_sb_0/FABRIC_UART_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_17:IPA,
FABRIC_UART_sb_0/FABRIC_UART_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_17:IPB,
FABRIC_UART_sb_0/CoreUARTapb_0_0/uUART/genblk2.tx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/ram128_8_pa4/RAM_128x8/INST_RAM64x18_IP:A_ADDR[0],
FABRIC_UART_sb_0/CoreUARTapb_0_0/uUART/genblk2.tx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/ram128_8_pa4/RAM_128x8/INST_RAM64x18_IP:A_ADDR[1],
FABRIC_UART_sb_0/CoreUARTapb_0_0/uUART/genblk2.tx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/ram128_8_pa4/RAM_128x8/INST_RAM64x18_IP:A_ADDR[2],
FABRIC_UART_sb_0/CoreUARTapb_0_0/uUART/genblk2.tx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/ram128_8_pa4/RAM_128x8/INST_RAM64x18_IP:A_ADDR[3],8540
FABRIC_UART_sb_0/CoreUARTapb_0_0/uUART/genblk2.tx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/ram128_8_pa4/RAM_128x8/INST_RAM64x18_IP:A_ADDR[4],8520
FABRIC_UART_sb_0/CoreUARTapb_0_0/uUART/genblk2.tx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/ram128_8_pa4/RAM_128x8/INST_RAM64x18_IP:A_ADDR[5],8452
