
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. FABRIC_UART, 196, 169, 69, 0, 0, 0, 2, 2, 2
.	. FABRIC_UART_sb, 196, 169, 69, 0, 0, 0, 2, 2, 0
.	.	. CoreAPB3_Z1, 0, 10, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAPB3_MUXPTOB3_0, 0, 8, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreResetP_Z3, 9, 2, 0, 0, 0, 0, 0, 1, 0
.	.	. FABRIC_UART_sb_CCC_0_FCCC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. FABRIC_UART_sb_CoreUARTapb_0_0_CoreUARTapb_19s_1s_1s_54s_0s_0s_0s_0s_0s_0s, 187, 157, 69, 0, 0, 0, 2, 0, 0
.	.	.	. FABRIC_UART_sb_CoreUARTapb_0_0_COREUART_1s_1s_0s_15s_0s, 163, 136, 61, 0, 0, 0, 2, 0, 0
.	.	.	.	. FABRIC_UART_sb_CoreUARTapb_0_0_Clock_gen_0s, 19, 10, 14, 0, 0, 0, 0, 0, 0
.	.	.	.	. FABRIC_UART_sb_CoreUARTapb_0_0_Rx_async_1s_0s_1s_2s, 37, 58, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. FABRIC_UART_sb_CoreUARTapb_0_0_Tx_async_1s_0s_1s_2s_3s_4s_5s_6s, 23, 24, 5, 0, 0, 0, 0, 0, 0
.	.	.	.	. FABRIC_UART_sb_CoreUARTapb_0_0_fifo_256x8, 30, 8, 21, 0, 0, 0, 1, 0, 0
.	.	.	.	.	. FABRIC_UART_sb_CoreUARTapb_0_0_fifo_ctrl_128, 30, 8, 21, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	. FABRIC_UART_sb_CoreUARTapb_0_0_ram128x8_pa4, 0, 0, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	. FABRIC_UART_sb_CoreUARTapb_0_0_fifo_256x8_0, 30, 7, 21, 0, 0, 0, 1, 0, 0
.	.	.	.	.	. FABRIC_UART_sb_CoreUARTapb_0_0_fifo_ctrl_128_0, 30, 7, 21, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	. FABRIC_UART_sb_CoreUARTapb_0_0_ram128x8_pa4_0, 0, 0, 0, 0, 0, 0, 1, 0, 0
.	.	. FABRIC_UART_sb_FABOSC_0_OSC, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. FABRIC_UART_sb_MSS, 0, 0, 0, 0, 0, 0, 0, 0, 0
